A,B,C
663,788,96
999,562,695
103,449,716
105,823,49
984,590,320
192,267,115
521,888,982
378,120,733
624,109,438
336,699,423
956,6,644
539,254,887
10,898,30
280,173,934
632,196,580
724,489,126
39,186,572
580,877,413
859,908,401
109,31,548
404,91,680
615,657,19
53,936,221
599,781,273
443,741,642
611,756,285
400,289,170
227,724,389
367,631,871
382,738,607
456,670,100
627,622,178
592,137,902
469,938,265
233,96,596
815,17,963
221,488,255
770,87,108
524,95,464
622,122,706
881,528,24
144,43,842
933,338,584
48,169,584
628,656,807
174,306,534
229,16,77
750,321,315
565,517,730
799,747,875
85,148,977
448,134,380
895,739,280
927,172,476
649,880,705
799,881,968
808,1,165
14,409,405
671,172,543
971,237,913
323,824,140
603,339,195
66,563,441
980,33,467
983,411,854
800,460,476
120,409,160
721,357,845
222,306,192
96,793,91
783,147,502
930,97,748
295,713,358
878,207,930
688,241,946
882,840,338
363,141,84
497,899,688
905,692,887
68,709,807
417,207,649
494,479,959
940,851,185
840,73,140
781,200,833
699,207,604
116,797,780
664,28,207
845,964,636
491,567,65
834,861,563
81,687,762
833,721,249
534,931,497
104,192,341
126,975,959
419,88,335
49,300,526
466,565,510
135,562,89
950,845,801
489,691,459
17,675,200
634,928,174
560,937,296
905,263,605
709,813,226
927,761,853
727,230,21
276,675,188
264,923,681
743,57,462
575,691,591
428,458,389
914,63,777
747,407,352
326,881,865
886,310,454
477,224,969
538,350,806
802,650,654
977,715,493
762,993,633
247,805,407
972,595,236
968,383,510
138,282,88
291,162,507
333,182,72
808,616,597
595,953,439
830,448,875
801,593,136
585,403,155
386,365,309
938,466,793
462,689,440
358,332,327
968,424,725
965,961,139
446,920,337
487,407,909
326,177,923
155,286,769
851,591,517
79,485,876
734,26,493
48,720,998
276,259,436
8,746,350
367,528,884
33,136,309
405,154,823
505,763,459
778,604,393
621,892,935
718,316,929
906,409,159
835,554,464
505,584,594
724,178,944
960,703,623
444,382,760
989,69,980
306,308,300
810,520,850
215,144,961
753,116,925
430,863,641
893,473,250
800,590,41
334,670,320
610,619,688
189,139,661
832,75,203
157,836,614
190,884,406
725,78,799
688,26,621
533,465,105
573,604,615
870,770,559
508,802,180
385,379,682
261,327,145
388,752,653
628,508,545
555,977,336
951,563,592
612,971,354
828,874,441
785,586,647
715,60,514
20,432,379
951,282,28
154,392,357
993,881,960
538,404,36
424,975,947
870,76,889
808,868,42
104,682,634
935,579,636
338,152,106
441,749,727
797,568,483
910,952,20
127,599,504
913,564,100
343,253,265
680,788,344
420,417,57
465,402,387
986,450,45
952,361,617
169,348,605
509,43,482
337,323,328
308,529,172
873,179,630
558,779,673
964,428,150
346,644,946
512,849,307
926,407,734
734,263,198
503,609,399
